,count,hate_speech,offensive_language,neither,class,tweet
71,3,0,3,0,1,hennessey venom gt see-no-evil_monkey one sexy bitch
72,3,0,3,0,1,seh pussy wetter shower curtainahmesehwetnesslmao
73,3,0,3,0,1,eaglesnation every eagle need see pic posted bitch said racist shit
74,3,1,2,0,1,yo fuck skateboarding yall wood pushing faggot man ball life
75,3,0,1,2,2,baby monkey bathtime awwwwe soooo adorable
76,3,0,3,0,1,face_with_tears_of_joy aint shit damn skippy lol
77,3,1,2,0,1,u ever kill ant sidewalk think damn nigga way get pussyno b must b 30chance
78,3,0,3,0,1,ring mvp bitch lol
79,3,1,2,0,1,ppl talk bad ghettohood kid growing nigga funnnnnnn
80,9,0,7,2,1,fact tattoostattoo pussy tattooing nipple
81,3,0,3,0,1,hundred_points rt bitch wanting act like nigga bad weary_face shit aint cuteeeee nigga act like bitch
82,3,0,3,0,1,get worshiping bitch woof
83,3,1,2,0,1,wow rt lost buttcheek piercings yeah hoe
84,3,0,3,0,1,ok si shed rather broke bitch shrug tell work
85,3,2,1,0,0,queer gaywad
86,3,0,3,0,1,faggot read tweet dat k even funny lol
87,3,0,3,0,1,bitch ungrateful fr lulwhore
88,3,0,3,0,1,kidnapped yo bitch
89,3,3,0,0,0,alsarabsss he beaner smh tell he mexican
90,3,1,2,0,1,happy birthday nigs thanks yo
91,6,1,5,0,1,ur teacher tell u u homework bitch need go
92,3,1,2,0,1,nigga eating hoe lol hell yea lol john paul nigga said john paul
93,3,0,3,0,1,would yall lil ugly bald headed bitch stop making makeup weave
94,3,1,2,0,1,leaf better win damn game go riot shit earlychristmas better start looting nig
95,3,0,3,0,1,going back school suck dick hoe attend
96,3,0,3,0,1,way fuck yo bitch year old
97,3,0,3,0,1,come never bring food dont car retard
98,3,0,3,0,1,richnow show hella tinder hoe im friend anymore chill brought like prople
99,3,1,2,0,1,bout cowboy shutup pussy
100,3,0,3,0,1,lmaooooooooooo nigga bitch want like depressing shitfoh
101,3,0,3,0,1,girl know spitting g shit going lbvsbitch plz
102,3,0,3,0,1,let make couple tweet cuzzo page get twitter jaillmao bitch trick
103,3,0,2,1,1,harlem shake excuse go full retard second
104,3,0,3,0,1,amen miley folded_hands need act like hoe bc emotionally damaged foh
105,3,0,3,0,1,one loyal female wayyyyy better hoe idc hundred_points
106,3,0,3,0,1,pussy licking pussy meow stopwhitepeople2014 cat_face confused_face
107,3,0,3,0,1,check th man cowboysnation even faggot ny fan stand
108,3,0,3,0,1,happen vixen ent bitch got ran threw side like foothill bitch
109,3,0,3,0,1,im bitch okay nude pat sleepy_face wow
110,3,3,0,0,0,fucking gay blacklisted hoe holding tehgodclan anyway
111,3,0,3,0,1,fuck wrong bitch nobody know
112,3,0,3,0,1,yall shut upp make bitch
113,3,1,2,0,1,hate pregnant type bitch
114,3,0,3,0,1,got bitch dm ever readem top
115,3,0,0,3,2,baseball season win yankee love started
116,3,0,3,0,1,little stupid bitch fuck yoooooouuuu
117,3,0,3,0,1,really asked dead as serious tho could say bitch wheet lol
118,3,0,0,3,2,early bird night owl wise worm
119,3,0,1,2,2,overdosing heavy drug sound bad tonight pussy shit every day
120,3,0,0,3,2,pit bull photographed lovely fairy tale creature fairy tale creature
121,3,0,3,0,1,aw fag tweet aw lol
122,3,0,0,3,2,long lakers trash could careless real cc hahaha
123,3,0,3,0,1,say anything tho kiss faggot
124,3,0,0,3,2,play soccer cheat girl wear khaki coloured cargo haircut face_with_tears_of_joy yup
125,3,0,3,0,1,could go fat as bitch lap
126,3,0,3,0,1,missed call angry_face yo po bitch twitter finna screamn freemoneymelle
127,6,0,6,0,1,ya side bitch got ta know rule shitanybody ask cousin jersey thinkin bout moving lmmfao face_with_tears_of_joy
128,3,0,3,0,1,amo los pie fuck yeah
129,3,0,3,0,1,hoe thinking meat slap as sleeping_face ainna bruh
130,3,0,3,0,1,yall bitch wit edge talking weary_face
131,3,0,3,0,1,yall still going trick treating year nahhell yeah ima da sweet tooth bandit steal bitch bag n shit
132,3,0,3,0,1,wan na sex mom fuck right pussy came damn got hacked like fuck
133,6,0,6,0,1,kiss u eye open watch bitchlmfao
134,3,0,3,0,1,woulda coulda shoulda as hoe flushed_face
135,3,0,3,0,1,happy bday bitch as nigga preciate bitch roll
136,3,0,3,0,1,used send bitch
137,6,0,6,0,1,ugly bitch like wcw duh bitch aint nobody el
138,3,1,2,0,1,nigga know hacky sack hoe nah throw look pass lmao
139,3,1,2,0,1,glad getting outta atlanta nothing bunch nigga outta jail dumb bitch mad kid fuckin em
140,3,0,1,2,2,ghettoit smart idc
141,3,0,2,1,1,would wife hoe cuz would care cheating force relationship first place
142,3,0,3,0,1,single excuse hoe
143,3,1,2,0,1,white boy power bitch black power bitch
144,3,0,3,0,1,let get drunk get blowed spit shit spark blunts fuck hoe bro white dude chill
145,3,0,3,0,1,bitch u around world back
146,3,0,3,0,1,get dick sucked yo party bad bitch fr gone set face_with_tears_of_joy
147,3,0,2,1,1,oomf soooo cute probably hoe lot
148,3,0,3,0,1,every cartoon alway saving hoe lmao lmao damn captain saveahoe
149,3,0,1,2,2,want get nose bad bois scally chav sockfetish stinking hot sox leg
150,3,0,3,0,1,wish bitch like brother keezy unamused_face ooooow bet
151,6,0,6,0,1,dressed cat halloween basic pussy
152,4,0,4,0,1,pornhub get gaming stream feature dumb bitch gtfo get katie3
153,3,0,3,0,1,stop scared choke sex u bitch as nigga like say guy hit woman bed foh
154,3,0,3,0,1,ha well iguess make hoe loyal bro theyll never loyal hoe nig
155,6,0,6,0,1,oh man molly ho fuck ya seed fixed
156,3,0,3,0,1,man refer every girl bitch
157,3,0,3,0,1,lmfao cat started beating shit nigga finally got pussy nigga
158,3,0,1,2,2,peel peel bring back rewind back move shaq line ooooow tf said trash
159,3,0,2,1,1,io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
160,3,0,3,0,1,naw old tape new cover upcoming mixtape kingofthehill yeah waiting hoe mayne
161,3,0,3,0,1,ol dirty foot as bitch funny
162,3,0,3,0,1,get yellow flag amazing clapping_hands hell yeah niggy
163,3,0,3,0,1,got time bitch actin iffy
164,3,0,0,3,2,ucfpinkparty come stay alive knight nation still early bird special comeatmeut
165,3,0,2,1,1,hoe aint loyal aint smfh wonder nobody decent want
166,3,0,3,0,1,bruh stud keep thinking soft hell ask ya girl many time screamed bitch oh okay stfu bye hoe
167,3,0,3,0,1,dry pussy bitch always blame condom
168,3,0,3,0,1,shut yo bitch as loudly_crying_face
169,3,0,3,0,1,gucci mane jail dropping mixtapes every month hoe even text back
170,3,0,3,0,1,love hoe money wats wrong nigga
171,6,0,6,0,1,loyal bitch burbs without daddy issue like finding holographic mewtwo sounding like lol
172,3,0,3,0,1,easy cum easy hoe fact
173,3,0,3,0,1,charlie sheen real major fucking respect charlie sheen
174,3,0,3,0,1,wish bae confused_face got hoe tho
175,3,0,3,0,1,fuck twerking bitch cook
176,3,0,3,0,1,bitch wtf
177,3,1,2,0,1,shut zoe fight pussy zoe good man good maam move along
178,3,0,3,0,1,lmao fucking snake bitch em
179,3,0,3,0,1,big booty hoe everywhere sheesh smiling_face_with_heart-eyes damn herb
180,3,0,0,3,2,stay tuned update report b 10 week bum
181,3,0,0,3,2,play soccer cheat girl wear khaki coloured cargo haircut yes lmfao
182,3,0,3,0,1,oregon choke every year get field trash as program rft
183,3,0,3,0,1,def cowboy lol rt terrell owen best eagle cowboy ever dude cried like bitch tv romo
184,3,3,0,0,0,lmfaoooo hate black people black people nigger
185,3,0,3,0,1,could u bitch potent
186,3,0,1,2,2,pissed lad past would lick dirty sol slept
187,3,0,1,2,2,love frat boy w soft long sol
188,3,0,1,2,2,sexy lad hot sol arch
189,3,0,3,0,1,nah fam got ta cheat hoe depends female feel
190,3,0,0,3,2,clapping_hands got hick lol
191,3,1,2,0,1,new twitter confusing shit go back south america bitch
192,3,0,3,0,1,toto mean as vaginai think pussy cause toto santi like nasty pussy
193,3,0,3,0,1,actually choose ugly bitch her as must fat
194,3,0,3,0,1,bitch could kill vibe ya tried rainbow dis love miley
195,3,0,3,0,1,tired bitch saying look mean unamused_face nigga big af wear tight shirt grim everybody
196,6,0,0,6,2,bird grandkids may never see thanks climate change climate
197,3,0,3,0,1,stay beautiful bitch
198,3,0,3,0,1,wutkinda r purple ceeeleeeman gurl jus playin stupid hoe track still shitted sum gurls
199,3,0,3,0,1,money getting taller bitch getting blurry
200,3,1,2,0,1,aint never seen bitch obsessed nigga obsessed mine expressionless_face
201,3,0,2,1,1,kobe stay talking trash let forget meant one smh
202,3,2,1,0,0,least nigger lmfao
203,3,0,3,0,1,people always asking mixed bad asian bitch lol
204,3,2,1,0,0,ariza snake coward least cripple like hero roach lmaoo
205,3,0,1,2,2,foster home imaginary trash whoa chill show everything tf
206,6,0,5,1,1,lowkey tired tired quiet go sleep hoe
207,3,0,3,0,1,stop bringing weird nigger mention
208,3,0,3,0,1,love hoe open_hands
209,3,0,3,0,1,yo girl cant homeboy ol weak bitch as nigga
210,3,0,3,0,1,think worst advice gave pussy speed lol
211,3,0,3,0,1,quote tweet favorite animalpussy
212,3,0,3,0,1,hate stripper tell dancer hoe ballet dancer pop pussy beethoven stripper
213,3,0,3,0,1,andrewbryant poff double vision beer poff double pussy smiling_face_with_sunglasses smh
214,3,0,3,0,1,bitch twerk computer ya bikini ya damn bikini
215,3,0,3,0,1,prince art nobody takin bitch
216,3,0,1,2,2,welfaregovernment aid claimed white people yall black slander trash
217,3,0,3,0,1,bitch care play role
218,6,0,6,0,1,took find hiding lime tree dis bitch da wrong tree bro
219,6,3,2,1,0,drake new shoe released nikejordan yes glitter shoe dude fag
220,3,0,1,2,2,inna di ghetto alone lmaoo
221,3,0,1,2,2,hoe austin teach u austini teach u get curved know
222,3,1,2,0,1,bitch cook know suck dick one
223,3,0,3,0,1,fat hoe get chose lol
224,3,0,3,0,1,hoesaintloyal well hoesno one expects loyal
225,3,0,3,0,1,ol bitch as
226,3,1,2,0,1,bruh im tired nigga retweetin miley cyrus naked bitch aint type bad lmaooo
227,3,0,3,0,1,tony romo mavs game dont mean still bitch lmao fuk cowgirl lol bitch fuck
228,3,0,3,0,1,holy shit freddie highmore charlie chocolate factory roll floor laughing
229,3,1,2,0,1,want sex gf feel like using anonymous whata faggot
230,3,0,3,0,1,one follower smiling_face_with_heart-eyes somebody bitch
231,3,0,3,0,1,ya bitch always bitching clearly care annoying bitch
232,3,0,3,0,1,catfish hoe thinkin slick nigga catching relieved_face
233,3,0,3,0,1,worry bitch aint worried bout real
234,3,0,3,0,1,side hoe insecure nigga handle real one
235,3,0,3,0,1,face_with_tears_of_joy lmao bitch come scooting tent like fuck shit loudly_crying_face
236,3,0,3,0,1,cousin said share hoe brother said sharing caring love brother face_with_tears_of_joy
237,3,0,3,0,1,hungry ionn wan na spend money food hoe problem face_with_tears_of_joy
238,6,0,6,0,1,dese hoe lyin u nigga
239,3,0,3,0,1,oh yeah fuck bitch
240,3,0,1,2,2,eli manning threw nflleading th interception season lmao trash
241,3,0,1,2,2,usc senior rb anthony brown call head coach steve sarkisian racist quits team » bitch
242,3,0,3,0,1,guess also zero time mansplaining adios stfu pussy
243,3,0,1,2,2,chilling tongue sexy scally lad
244,3,0,3,0,1,aint sharing bitch mine mine hundred_points
245,3,0,3,0,1,money impress simple broke bitch
246,3,0,2,1,1,pisces never anybodys bitch let people control change rigghhht
247,3,0,1,2,2,tuku ho idk blah face_with_tears_of_joy
248,3,0,1,2,2,mad cuh hahaha suure tuku ho ita face_with_tears_of_joy
249,3,0,3,0,1,hoe crazy
250,3,0,3,0,1,aint ever gon na slice bitch kevin hart
251,3,0,3,0,1,oomf fuckin fine tho weary_face dam bitch
252,3,1,2,0,1,wonder girl gave head boy drink magaluf twitter probly sends nude fag
253,3,0,3,0,1,newsatquestions yeah bitch yeah bitch call maybe b steveo c later jesse pinkman
254,3,0,3,0,1,hickies thigh right pussy right
255,3,0,3,0,1,would still love longer young beautiful ugly monkey as
256,3,1,2,0,1,yall come frontbitch aint coming
257,3,1,2,0,1,faggot bitch
258,3,0,3,0,1,yea ipad work friday let ball faggot work 5
259,3,0,1,2,2,scally lad would get
260,3,2,1,0,0,gerryshalloweenparty halloween yesterday stupid nigger
261,3,0,2,1,1,chrus still supahot tho walk teacher test drop test bitch fohead
262,3,0,3,0,1,love eating pussy lol never get full lol eat shit forever lol ever
263,3,0,3,0,1,slush disappointed_but_relieved_face nasty anyway fam hoe taste like med
264,3,0,2,1,1,slush disappointed_but_relieved_face nasty anyway fam
265,3,1,2,0,1,bobby bitchby getting live fuck hell yea play hoe workout
266,3,0,3,0,1,yo bitch gucci mane rt bitch stoner hundred_points
267,3,0,3,0,1,ride bitch handle bar
268,3,0,3,0,1,aint hoe get traphoussseeeee
269,3,0,0,3,2,sad tv character death still bitter stark man
270,3,0,3,0,1,harbor bitch party bus hoe lol
271,3,0,3,0,1,pussy love
272,3,0,3,0,1,ultraviolence video coming little bitch mtvhottest lana del rey bitchy promo
273,3,0,3,0,1,way fuck bitch lmfao kittycopter
274,3,0,0,3,2,smuggler explains helped fighter along jihadi highway
275,3,0,3,0,1,aww avis look cute together couple_with_heart skull got ta get ike avi bitch
276,3,0,3,0,1,simple dont hoedont worry exposed face_with_stuck-out_tongue_&_winking_eye fight mewhy
277,3,0,3,0,1,why bitch boosting size exactly healthy tho
278,3,0,3,0,1,bet bitch face_with_tears_of_joy face_with_tears_of_joy kim bye
279,3,0,3,0,1,damn near got ta protect tweet stalker annoying got dope dick drive bitch loco
280,3,0,3,0,1,making marack girlfriend aye b pullin hoe like taught
281,3,1,2,0,1,bruno fag boy love
282,3,0,3,0,1,must bitch face_with_tears_of_joy sike naw always beefing face_with_tears_of_joy
283,3,0,0,3,2,1 yankee look rally bottom th rallycap
284,3,0,3,0,1,take advantage nice person hoe everyjuan
285,3,1,2,0,1,happy birthday bitch nigga thanks pal
286,3,0,3,0,1,sad knowing hoe fuck bc aint got stack wait till friday
287,3,0,3,0,1,cinco shit harder fucc niggayee fucc wit rich homie cuz dat ya homeboy fucc nicca
288,3,0,3,0,1,ewww said last sundayas last sunday read nigs
289,4,1,3,0,1,punch real nigga face cause pussy nigga gon na punch right back strong mush shake
290,3,0,3,0,1,pussy still fresh something stank girl say
291,4,0,4,0,1,as slapping one greatest thing haha smirking_face slapped girl as got mad aint get pussy week
292,3,0,3,0,1,yeah texan much better fucking retard see mad
293,3,1,2,0,1,nd wtf dark bitch blonde please several seat hoe looking like blackmilds
294,4,0,4,0,1,lane bitch need stay smiling_face_with_sunglasses left n get right fuck outta face loudly_crying_face
295,3,0,3,0,1,hate boy deny bitch open_hands smh
296,3,1,2,0,1,ya nigs still saying yall eat butt straight face
297,3,0,3,0,1,im bos as bitch need sit corner
298,3,0,3,0,1,hoe
299,3,0,3,0,1,paul thinkin bout gettin rental da weekend sport_utility_vehicle shit bitch betta stay da street
300,6,0,6,0,1,bitch hold nigga get locked nigga go college military different story sleeping_face
301,3,1,2,0,1,friend hate ratchet hoe
302,3,1,2,0,1,love fuck nigga hoe
303,3,0,3,0,1,hot meat sexy fuck scally lad would love meet trainer
304,3,0,3,0,1,sniff perved scally lad fuck yeah
305,3,0,3,0,1,bitch love sosa
306,4,0,3,1,1,legit watched second expressionless_face wtf prob cause retarded smh
307,3,0,3,0,1,name cat idea mr pussy
308,3,0,2,1,1,woof sexy thug boy scally
309,3,0,3,0,1,u see damn phone ringing persevering_face married bitch make demand called
310,3,0,3,0,1,tevin favorite sophomore think funny he really lmaoo he little hoe
311,3,0,3,0,1,sex position u call fucking soul outta bitch loudly_crying_face
312,3,2,1,0,0,bored supposed cute faggot sometimes
313,3,0,0,3,2,one man trash litter_in_bin_sign another man treasure trophy
314,3,0,3,0,1,got type bad bitch thing like iongotnotype
315,3,2,1,0,0,lassen cc coach want feel youll get nig doubt
316,3,0,3,0,1,god teeth gold chain white bitch cocaine
317,3,1,2,0,1,hoe hoe shhhhh
318,3,0,3,0,1,dc call roller chiraq call thots across america known hoe
319,3,0,3,0,1,gon na miss bitch bus driverno lie
320,3,0,3,0,1,hate bitch try put friendzone bitch tryin score put endzone fire soul
321,3,0,1,2,2,ashley young tried deny bird landed mouth hahaha
322,3,0,3,0,1,yall gimped aint tht bitch huh lol
323,3,0,1,2,2,take ride smiling_face_with_heart-eyes woof
324,3,1,2,0,1,oh god love victoria mitchell bitch love
325,3,0,3,0,1,long distance shit wack knew bitch cheating uh oh
326,3,0,3,0,1,right smiling_face_with_heart-eyes bitch smh
327,3,0,3,0,1,ban dat pussy life got ta pay millon dollar fine
328,3,1,2,0,1,rose red violet blue nigger black know true
329,3,0,0,3,2,sitting window sill window open bird try fly smacked protecttheanimals
330,3,0,3,0,1,nigga gon nigga nigga sound fuckin retarded
331,3,0,0,3,2,video entire medium likely mock crybaby
332,3,0,3,0,1,even shy stfu kikis mom hi angelique smile dip cracker soup
333,3,0,3,0,1,tim tebow got cut every team nfl already got hoe starkville smh face_with_tears_of_joy
334,3,0,3,0,1,karma bitch damn godprotectshisangels raising_hands sip tea
335,3,0,3,0,1,fuckin hot gym pussy fuck yeah
336,3,0,0,3,2,jihadi patron hajjaj alajmi arrested kuwait airport
337,3,0,2,1,1,call fireman cause turn hoe
338,3,0,3,0,1,could never bby lil dick thts got abortion last bitch oh god
339,3,0,3,0,1,watch woman try argue like dick actually fucked pussy hate bitch
340,3,0,3,0,1,smoke weed public fuck cop man wan na run come retarded
341,3,0,0,3,2,tweety bird tho face_with_tears_of_joy
342,3,0,3,0,1,pussy sweet like watermelon thotermelon
343,3,0,1,2,2,twitter rapper dm trash link
344,3,0,3,0,1,loud bitch annoy
345,4,0,4,0,1,eventually every bitch turn hoe truuu
346,3,0,3,0,1,swear oomf try talking tomorrow pussy
347,3,0,3,0,1,bitch pretending tf crazy aint never lied
348,4,0,3,1,1,k bye hoe um bye
349,3,2,1,0,0,jackies retard blondeproblems least make grilled cheese
350,3,1,2,0,1,ima keep giving pussy as nigga ah reason hate
351,3,0,0,3,2,photo sole heaven
352,3,2,1,0,0,stacey dash sweat_droplets baddest bitch evaaaa
353,3,0,3,0,1,side bitch sunday face_with_tears_of_joy face_with_tears_of_joy
354,3,0,3,0,1,fact baldheaded bitch made shit oncoming_fist lmao weary_face
355,3,0,3,0,1,fuck wit u tweakin hoe shmurda
356,3,0,0,3,2,actin like th day ghost
357,3,0,3,0,1,break lil bitch neck even feel sorry savage
358,3,0,3,0,1,fucking hot scally sneakersex sockfetish sniff trainersex love kinky scallies
359,3,1,2,0,1,yall dumb as nigga pressed hoe yall weak fuck fuck weed hoe oreo
360,3,0,3,0,1,turn yo bitch eaterrrrrrrrr
361,3,0,3,0,1,trust dese hoe nikki told st stay fan screen shot asap finna come chiraq shoot sumn
362,3,0,3,0,1,aye yall ima tryout bowling team frfr tryout passed tho there two retard
363,3,0,3,0,1,u got u want bitch enjoy crazy party would love attend
364,3,0,0,3,2,colored contact eye blinder mine cause see lmao
365,3,0,3,0,1,fact dude hoe say got hoe
366,3,0,3,0,1,rea start smacking bitch period bluffin best
367,3,0,3,0,1,life bitch die thats get high cause neva know gon na go sister perfect
368,3,0,3,0,1,one u drug still wrong face_with_tears_of_joy hahahahahahah im bitch sometimes
369,3,1,2,0,1,feeling pretty fuckin ghetto smh
370,3,0,0,3,2,swears 1 man easily behind austin nip
371,3,0,3,0,1,true ride die bitch hundred_points fuck hahahahah
372,4,0,0,4,2,hgwells charlie chaplin history photography
373,3,0,3,0,1,see bruno bitch as twitter wtf bruno see drake voice
374,3,0,3,0,1,cool faggot chill tf cool nigga
375,3,0,3,0,1,sure bitch frfr tf
376,3,0,3,0,1,twitter source news broadcast fucking retard nbc abc cnn fox etc keeping quiet
377,3,0,3,0,1,got couple bitch saying know ama let money talk smiling_face_with_sunglasses like wwyd
378,3,0,3,0,1,grudge weirdosand bitch
379,3,1,0,2,2,told mariam cigarette birthday also called trash rn
380,3,0,0,3,2,brownie tonight kind
381,3,0,3,0,1,text back give fuck text another bitch damn someone hurt lol
382,6,1,5,0,1,ummmmmm okay got hoe left right face_with_tears_of_joy yah thang
383,3,0,3,0,1,using ymxb find slope as
384,3,0,0,3,2,fit lad nice gear scally lad n trainer would get
385,3,0,3,0,1,hell yeah bro fuck yeah sexy scally lad hot gear
386,3,0,3,0,1,helping mate love scally play fuck yeah
387,3,0,2,1,1,lad lad fuck yeah love scally lad action hot trainer
388,3,0,3,0,1,next year bitch gon na like got ta promise expose face_with_tears_of_joy
389,3,0,3,0,1,hot rt lick bitch fuck yeah eat trainer u dirty fucker
390,3,0,3,0,1,yall think celebrity pussy different local face_with_tears_of_joy yeah meghan good
391,6,0,2,4,2,saw ajumma walk beginning saying wow trash even listen face_with_tears_of_joy lmaoo
392,3,0,3,0,1,need sox fuck yeah love kinky scally lad w rank sox sneak
393,3,1,2,0,1,ever expose female like childish bitch nigga shiiii
394,3,0,3,0,1,yasss try new thing bestfriend bitch love
395,3,1,0,2,2,dude remember wop video omg find
396,3,0,2,1,1,thick raw fuck damn man pussy getting workout
397,3,0,0,3,2,rawr rt sexy french scally love frenchscally sexy scally woof
398,3,0,3,0,1,nothin life free bitch need write ya panty
399,3,0,3,0,1,one bitch want burrito u catch potosino huh haha
400,3,1,2,0,1,nigga whole hoe cuz could said better
401,3,0,3,0,1,hardcore way eat mac cheese boil water snort cheese powder drink boiling water fuck bitch
402,3,0,3,0,1,yourenotmytype fade perpetually fresher real as bitch rite
403,3,0,3,0,1,annoying bitch love judyanns pretty
404,3,0,3,0,1,lmao bitch got huggies
405,3,0,3,0,1,hi bitch bitch bye bitch
406,3,0,3,0,1,look like bitch
407,3,0,3,0,1,chase money money_bag person_gesturing_NO hoe people_with_bunny_ears_partying hundred_points
408,3,0,3,0,1,stand know want as nigga sleeping_face bitch
409,3,0,3,0,1,way love chavhot sexy scally fucker
410,3,1,2,0,1,newly gay bitch kno shit work
411,3,0,3,0,1,bitch want real job become stripper lol
412,3,0,3,0,1,awww meat feelinsi ainn n feeling bitch
413,3,0,2,1,1,want snake bite industrial piercin tattoodem hoe accessory dea eye
414,3,0,0,3,2,baby albino turtle
415,3,0,3,0,1,hoe aint loyal
416,3,1,2,0,1,yassssss ordered chinese clapping_hands bitch ate taco fat fuck
417,3,0,3,0,1,made bitch lunch bitch love lunch
418,6,2,4,0,1,brainer soon bitch get rich political power view change political whore
419,3,0,3,0,1,pussy day keep devil away
420,3,0,3,0,1,aint bitch mean
421,3,0,3,0,1,bitch want baby want child
422,3,0,2,1,1,bitch must lost face_with_tears_of_joy
423,3,0,3,0,1,baby like left side bitch cuz street side twitter said aint real
424,6,0,1,5,2,bae sound like ghetto word use something else
425,3,1,2,0,1,batter wee cunt jewis co fucked ex emma isnt battering girl ive nailedive moved onstop pussy n urself
426,3,0,3,0,1,bleed hoe alexa
427,3,0,3,0,1,boolin bando wit bitch
428,3,0,0,3,2,brownie brownie love movie smiling_face_with_open_mouth_&_cold_sweat
429,3,0,3,0,1,need bad bitch hotter might realist shit partynextdoor ever said feelin everyday
430,3,1,2,0,1,way punch bitch
431,3,0,3,0,1,caesar home rt much bitch look like let start ape shit
432,3,0,1,2,2,chinese maverick communicating comrade u know giving imperialist yank birdie
433,3,0,3,0,1,dad say hi snapchat dad ✌️ duce bitch face_with_tears_of_joy
434,6,0,5,1,1,believe hoe fact loyal disagree believe fact loyalest bunchthese hoe
435,3,0,3,0,1,know ugly bitch know broke nigga
436,3,0,3,0,1,make make fall live nigga like meee bird 2 favorite song weeknd
437,3,2,1,0,0,worry nigga see worry nigga see dat da nigga fuckin yo bitch
438,3,0,3,0,1,ever give pussy away keep tight alright
